#------------------------------------
# ENERGY HISTORY
#------------------------------------
#               kin       intermol           elec            vib          rot-J          rot-L            tot     formula
#                eV             eV             eV             eV             eV             eV               
#           -------        -------       --------       --------        -------          -----        -------
 p          3.34522        0.00000    -3089.73541        0.61591        0.86847        0.01760    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.93051        0.00000    -3089.73541        0.89807        2.76593        0.25268    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          1.72484        0.00000    -3089.73541        0.21343        2.76593        0.14299    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          3.50481        0.00000    -3089.73541        0.24348        1.06559        0.03332    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          1.80932        0.00000    -3089.73541        1.94611        1.06559        0.02618    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          2.85380        0.00000    -3089.73541        1.94611        0.04625        0.00103    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          4.37037        0.00000    -3089.73541        0.42980        0.04625        0.00078    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          2.30687        0.00000    -3089.73541        2.49306        0.04625        0.00102    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 n          2.30691        0.00000    -3089.73541        2.49306        0.04625        0.00097    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          2.16331        0.00000    -3089.73541        2.20118        0.47360        0.00911    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          3.44642        0.00000    -3089.73541        0.91638        0.47360        0.01081    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          1.59872        0.00000    -3089.73541        2.76409        0.47360        0.01079    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          1.60084        0.00000    -3089.73541        2.76409        0.47360        0.00867    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.60324        0.00000    -3089.73541        2.87105        1.34864        0.02427    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          0.59984        0.00000    -3089.73541        2.87105        1.34864        0.02767    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.59950        0.00000    -3089.73541        2.87105        1.34864        0.02801    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          0.36707        0.00000    -3089.73541        2.87105        1.34864        0.26044    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.42962        0.00000    -3089.73541        2.87105        1.34864        0.19789    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.53981        0.00000    -3089.73541        2.87105        1.34864        0.08770    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          1.97531        0.00000    -3089.73541        2.87105        0.00082        0.00002    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.58396        0.00000    -3089.73541        2.81551        1.41606        0.03166    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          0.00310        0.00000    -3088.86472        2.95783        0.67703        0.33855    -3084.88821     1:C_1(1,0,0)+3:C_2(1,1,0)
 r          0.06841        0.00000    -3088.86472        2.95783        0.67703        0.27324    -3084.88821     1:C_1(1,0,0)+3:C_2(1,1,0)
 w          0.02813        0.00000    -3088.86472        2.95783        0.67703        0.31352    -3084.88821     1:C_1(1,0,0)+3:C_2(1,1,0)
 r          3.29575        0.00000    -3090.31456        1.40173        0.67703        0.05185    -3084.88821     2:C_1(3,0,0)+3:C_2(1,1,0)
 r          3.43899        0.00000    -3090.31456        1.27574        0.67703        0.03460    -3084.88821     2:C_1(3,0,0)+3:C_2(1,1,0)
 p          4.28887        0.00000    -3090.31456        0.44676        0.67703        0.01370    -3084.88821     2:C_1(3,0,0)+3:C_2(1,1,0)
 w          0.20899        0.00000    -3090.31456        4.52826        0.67703        0.01207    -3084.88821     2:C_1(3,0,0)+3:C_2(1,1,0)
 w          0.77129        0.00000    -3090.31456        4.06357        0.58213        0.00936    -3084.88821     2:C_1(3,0,0)+3:C_2(1,1,0)
 n          0.76972        0.00000    -3090.31456        4.06357        0.58213        0.01093    -3084.88821     2:C_1(3,0,0)+3:C_2(1,1,0)
 w          0.04003        0.00000    -3088.28557        0.84155        2.09686        0.41893    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          0.25830        0.00000    -3088.28557        0.84155        2.09686        0.20067    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          0.21920        0.00000    -3088.28557        0.84155        2.05554        0.28108    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          0.15504        0.00000    -3088.28557        0.84155        2.05554        0.34524    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          0.37520        0.00000    -3088.28557        0.84155        2.05554        0.12507    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 p          1.58260        0.00000    -3088.28557        0.84155        0.95048        0.02274    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 n          1.95503        0.00000    -3088.28557        0.47121        0.95048        0.02065    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 p          2.99515        0.00000    -3088.28557        0.36674        0.03474        0.00073    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          1.38531        0.00000    -3088.28557        0.56986        1.41606        0.02613    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 p          2.71652        0.00000    -3088.28557        0.56986        0.10874        0.00224    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 p          1.45329        0.00000    -3088.28557        1.73016        0.19754        0.01638    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          1.66369        0.00000    -3088.28557        1.73016        0.00329        0.00023    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 p          1.66365        0.00000    -3088.28557        1.73016        0.00329        0.00027    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 n          1.66381        0.00000    -3088.28557        1.73016        0.00329        0.00010    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 w          0.98636        0.00000    -3088.28557        1.73016        0.66784        0.01300    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          0.83617        0.00000    -3088.28557        1.73016        0.81584        0.01519    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 w          0.11827        0.00000    -3088.28557        1.73016        1.52028        0.02866    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 w          0.00406        0.00000    -3088.28557        1.73016        1.52028        0.14287    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          0.01055        0.00000    -3088.28557        1.73016        1.52028        0.13638    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          0.01055        0.00000    -3088.28557        1.73016        1.52028        0.13638    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          0.03587        0.00000    -3088.28557        1.73016        1.52028        0.11106    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          0.02504        0.00000    -3088.28557        1.62539        1.52028        0.22666    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 r          0.08582        0.00000    -3088.28557        1.62539        1.52028        0.16588    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 p          1.04693        0.00000    -3088.28557        1.62539        0.69148        0.03356    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 w          0.43020        0.00000    -3088.28557        2.22253        0.69148        0.05315    -3084.88821     1:C_1(1,0,0)+4:C_2(3,1,0)
 w          0.79047        0.00000    -3089.73541        0.48618        2.22327        1.34727    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          3.18393        0.00000    -3089.73541        0.48618        0.89539        0.28169    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          3.32794        0.00000    -3089.73541        0.48618        0.89539        0.13769    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          0.26082        0.00000    -3089.73541        3.43025        1.06559        0.09054    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          1.99965        0.00000    -3089.73541        0.63040        2.13858        0.07857    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          3.55757        0.00000    -3089.73541        0.84151        0.43495        0.01317    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          4.09170        0.00000    -3089.73541        0.31281        0.43495        0.00773    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          0.09268        0.00000    -3089.73541        1.22029        3.47386        0.06037    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          0.08760        0.00000    -3089.73541        1.22029        3.47386        0.06545    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          3.39139        0.00000    -3089.73541        0.79590        0.64462        0.01529    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          1.32477        0.00000    -3089.73541        1.82289        1.66499        0.03455    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.82936        0.00000    -3089.73541        1.82289        1.66499        0.52997    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.77676        0.00000    -3089.73541        1.82289        1.66499        0.58256    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          0.45937        0.00000    -3089.73541        2.09662        1.66499        0.62621    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.98769        0.00000    -3089.73541        2.09662        1.66499        0.09790    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          1.17035        0.00000    -3089.73541        2.45861        1.18728        0.03095    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          1.17447        0.00000    -3089.73541        2.45861        1.18728        0.02683    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          1.92948        0.00000    -3089.73541        1.70856        1.18728        0.02188    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          1.07948        0.00000    -3089.73541        1.70856        2.01463        0.04452    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          1.08292        0.00000    -3089.73541        1.70856        2.01463        0.04108    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          1.43821        0.00000    -3089.73541        1.70856        1.66499        0.03545    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          3.49824        0.00000    -3089.73541        0.34614        0.97864        0.02417    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          0.87154        0.00000    -3089.73541        1.65589        2.26623        0.05354    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.86885        0.00000    -3089.73541        1.65589        2.26623        0.05622    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          0.84596        0.00000    -3089.73541        1.62407        2.26623        0.11094    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.40654        0.00000    -3089.73541        2.01665        2.35339        0.07062    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          2.92295        0.00000    -3089.73541        0.79514        1.03620        0.09292    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
