
# Curve 0 of 1, 10000 points
# Curve title: "FR(x)"
# x y type
-5.0000000000 0.0000000000  i
-4.9989999000 0.0000000000  i
-4.9979998000 0.0000000000  i
-4.9969997000 0.0000000000  i
-4.9959996000 0.0000000000  i
-4.9949994999 0.0000000000  i
-4.9939993999 0.0000000000  i
-4.9929992999 0.0000000000  i
-4.9919991999 0.0000000000  i
-4.9909990999 0.0000000000  i
-4.9899989999 0.0000000000  i
-4.9889988999 0.0000000000  i
-4.9879987999 0.0000000000  i
-4.9869986999 0.0000000000  i
-4.9859985999 0.0000000000  i
-4.9849984998 0.0000000000  i
-4.9839983998 0.0000000000  i
-4.9829982998 0.0000000000  i
-4.9819981998 0.0000000000  i
-4.9809980998 0.0000000000  i
-4.9799979998 0.0000000000  i
-4.9789978998 0.0000000000  i
-4.9779977998 0.0000000000  i
-4.9769976998 0.0000000000  i
-4.9759975998 0.0000000000  i
-4.9749974997 0.0000000000  i
-4.9739973997 0.0000000000  i
-4.9729972997 0.0000000000  i
-4.9719971997 0.0000000000  i
-4.9709970997 0.0000000000  i
-4.9699969997 0.0000000000  i
-4.9689968997 0.0000000000  i
-4.9679967997 0.0000000000  i
-4.9669966997 0.0000000000  i
-4.9659965997 0.0000000000  i
-4.9649964996 0.0000000000  i
-4.9639963996 0.0000000000  i
-4.9629962996 0.0000000000  i
-4.9619961996 0.0000000000  i
-4.9609960996 0.0000000000  i
-4.9599959996 0.0000000000  i
-4.9589958996 0.0000000000  i
-4.9579957996 0.0000000000  i
-4.9569956996 0.0000000000  i
-4.9559955996 0.0000000000  i
-4.9549954995 0.0000000000  i
-4.9539953995 0.0000000000  i
-4.9529952995 0.0000000000  i
-4.9519951995 0.0000000000  i
-4.9509950995 0.0000000000  i
-4.9499949995 0.0000000000  i
-4.9489948995 0.0000000000  i
-4.9479947995 0.0000000000  i
-4.9469946995 0.0000000000  i
-4.9459945995 0.0000000000  i
-4.9449944994 0.0000000000  i
-4.9439943994 0.0000000000  i
-4.9429942994 0.0000000000  i
-4.9419941994 0.0000000000  i
-4.9409940994 0.0000000000  i
-4.9399939994 0.0000000000  i
-4.9389938994 0.0000000000  i
-4.9379937994 0.0000000000  i
-4.9369936994 0.0000000000  i
-4.9359935994 0.0000000000  i
-4.9349934993 0.0000000000  i
-4.9339933993 0.0000000000  i
-4.9329932993 0.0000000000  i
-4.9319931993 0.0000000000  i
-4.9309930993 0.0000000000  i
-4.9299929993 0.0000000000  i
-4.9289928993 0.0000000000  i
-4.9279927993 0.0000000000  i
-4.9269926993 0.0000000000  i
-4.9259925993 0.0000000000  i
-4.9249924992 0.0000000000  i
-4.9239923992 0.0000000000  i
-4.9229922992 0.0000000000  i
-4.9219921992 0.0000000000  i
-4.9209920992 0.0000000000  i
-4.9199919992 0.0000000000  i
-4.9189918992 0.0000000000  i
-4.9179917992 0.0000000000  i
-4.9169916992 0.0000000000  i
-4.9159915992 0.0000000000  i
-4.9149914991 0.0000000000  i
-4.9139913991 0.0000000000  i
-4.9129912991 0.0000000000  i
-4.9119911991 0.0000000000  i
-4.9109910991 0.0000000000  i
-4.9099909991 0.0000000000  i
-4.9089908991 0.0000000000  i
-4.9079907991 0.0000000000  i
-4.9069906991 0.0000000000  i
-4.9059905991 0.0000000000  i
-4.9049904990 0.0000000000  i
-4.9039903990 0.0000000000  i
-4.9029902990 0.0000000000  i
-4.9019901990 0.0000000000  i
-4.9009900990 0.0000000000  i
-4.8999899990 0.0000000000  i
-4.8989898990 0.0000000000  i
-4.8979897990 0.0000000000  i
-4.8969896990 0.0000000000  i
-4.8959895990 0.0000000000  i
-4.8949894989 0.0000000000  i
-4.8939893989 0.0000000000  i
-4.8929892989 0.0000000000  i
-4.8919891989 0.0000000000  i
-4.8909890989 0.0000000000  i
-4.8899889989 0.0000000000  i
-4.8889888989 0.0000000000  i
-4.8879887989 0.0000000000  i
-4.8869886989 0.0000000000  i
-4.8859885989 0.0000000000  i
-4.8849884988 0.0000000000  i
-4.8839883988 0.0000000000  i
-4.8829882988 0.0000000000  i
-4.8819881988 0.0000000000  i
-4.8809880988 0.0000000000  i
-4.8799879988 0.0000000000  i
-4.8789878988 0.0000000000  i
-4.8779877988 0.0000000000  i
-4.8769876988 0.0000000000  i
-4.8759875988 0.0000000000  i
-4.8749874987 0.0000000000  i
-4.8739873987 0.0000000000  i
-4.8729872987 0.0000000000  i
-4.8719871987 0.0000000000  i
-4.8709870987 0.0000000000  i
-4.8699869987 0.0000000000  i
-4.8689868987 0.0000000000  i
-4.8679867987 0.0000000000  i
-4.8669866987 0.0000000000  i
-4.8659865987 0.0000000000  i
-4.8649864986 0.0000000000  i
-4.8639863986 0.0000000000  i
-4.8629862986 0.0000000000  i
-4.8619861986 0.0000000000  i
-4.8609860986 0.0000000000  i
-4.8599859986 0.0000000000  i
-4.8589858986 0.0000000000  i
-4.8579857986 0.0000000000  i
-4.8569856986 0.0000000000  i
-4.8559855986 0.0000000000  i
-4.8549854985 0.0000000000  i
-4.8539853985 0.0000000000  i
-4.8529852985 0.0000000000  i
-4.8519851985 0.0000000000  i
-4.8509850985 0.0000000000  i
-4.8499849985 0.0000000000  i
-4.8489848985 0.0000000000  i
-4.8479847985 0.0000000000  i
-4.8469846985 0.0000000000  i
-4.8459845985 0.0000000000  i
-4.8449844984 0.0000000000  i
-4.8439843984 0.0000000000  i
-4.8429842984 0.0000000000  i
-4.8419841984 0.0000000000  i
-4.8409840984 0.0000000000  i
-4.8399839984 0.0000000000  i
-4.8389838984 0.0000000000  i
