# Real Numerical Function
# Wed Mar  4 11:30:26 2015
 -0.3140650E+04 -0.2867162E-05
 -0.3140022E+04 -0.9279313E-05
 -0.3139394E+04 -0.1392226E-04
 -0.3138766E+04 -0.1148015E-04
 -0.3138137E+04 -0.1777314E-07
 -0.3137509E+04  0.1718572E-04
 -0.3136881E+04  0.3246990E-04
 -0.3136252E+04  0.3713482E-04
 -0.3135624E+04  0.2585622E-04
 -0.3134996E+04  0.7109302E-07
 -0.3134368E+04 -0.3147551E-04
 -0.3133739E+04 -0.5564951E-04
 -0.3133111E+04 -0.6035836E-04
 -0.3132483E+04 -0.4026104E-04
 -0.3131855E+04 -0.1599562E-06
 -0.3131226E+04  0.4573654E-04
 -0.3130598E+04  0.7881812E-04
 -0.3129970E+04  0.8359288E-04
 -0.3129342E+04  0.5469461E-04
 -0.3128713E+04  0.2843618E-06
 -0.3128085E+04 -0.5996882E-04
 -0.3127457E+04 -0.1019757E-03
 -0.3126829E+04 -0.1068384E-03
 -0.3126200E+04 -0.6915693E-04
 -0.3125572E+04 -0.4443111E-06
 -0.3124944E+04  0.7417234E-04
 -0.3124316E+04  0.1251224E-03
 -0.3123687E+04  0.1300949E-03
 -0.3123059E+04  0.8364802E-04
 -0.3122431E+04  0.6398238E-06
 -0.3121803E+04 -0.8834708E-04
 -0.3121174E+04 -0.1482580E-03
 -0.3120546E+04 -0.1533623E-03
 -0.3119918E+04 -0.9816784E-04
 -0.3119290E+04 -0.8708635E-06
 -0.3118661E+04  0.1024931E-03
 -0.3118033E+04  0.1713827E-03
 -0.3117405E+04  0.1766407E-03
 -0.3116777E+04  0.1127164E-03
 -0.3116148E+04  0.1137460E-05
 -0.3115520E+04 -0.1166103E-03
 -0.3114892E+04 -0.1944963E-03
 -0.3114264E+04 -0.1999301E-03
 -0.3113635E+04 -0.1272937E-03
 -0.3113007E+04 -0.1439597E-05
 -0.3112379E+04  0.1306987E-03
 -0.3111751E+04  0.2175989E-03
 -0.3111122E+04  0.2232304E-03
 -0.3110494E+04  0.1418998E-03
 -0.3109866E+04  0.1777296E-05
 -0.3109237E+04 -0.1447584E-03
 -0.3108609E+04 -0.2406906E-03
 -0.3107981E+04 -0.2465418E-03
 -0.3107353E+04 -0.1565346E-03
 -0.3106724E+04 -0.2150532E-05
 -0.3106096E+04  0.1587893E-03
 -0.3105468E+04  0.2637712E-03
 -0.3104840E+04  0.2698640E-03
 -0.3104211E+04  0.1711982E-03
 -0.3103583E+04  0.2559317E-05
 -0.3102955E+04 -0.1727914E-03
 -0.3102327E+04 -0.2868408E-03
 -0.3101698E+04 -0.2931973E-03
 -0.3101070E+04 -0.1858905E-03
 -0.3100442E+04 -0.3003633E-05
 -0.3099814E+04  0.1867648E-03
 -0.3099185E+04  0.3098994E-03
 -0.3098557E+04  0.3165415E-03
 -0.3097929E+04  0.2006116E-03
 -0.3097301E+04  0.3483522E-05
 -0.3096672E+04 -0.2007094E-03
 -0.3096044E+04 -0.3329470E-03
 -0.3095416E+04 -0.3398967E-03
